ENCRYPTION
Plaintext P: 00110010010000111111011010101000100010000101101000110000100011010011000100110001100110001010001011100000001101110000011100110100
Key K: 00101011011111100001010100010110001010001010111011010010101001101010101111110111000101011000100000001001110011110100111100111100
Ciphertext C: 00111001001001011000010000011101000000101101110000001001111110111101110000010001100001011001011100011001011010100000101100110010
Running time: 1087ms
Avalanche:
P and Pi under K
Round      AES0       AES1       AES2       AES3       AES4      
0          1          1          1          1          1         
1          16         6          16         4          16        
2          64         29         16         4          64        
3          64         37         16         4          64        
4          63         43         15         4          64        
5          63         37         16         4          64        
6          64         67         16         4          65        
7          64         15         16         4          63        
8          64         1          16         4          64        
9          64         6          16         4          63        
10         64         6          16         4          64        

P under K and Ki
Round      AES0       AES1       AES2       AES3       AES4      
0          0          0          0          0          0         
1          21         12         21         10         16        
2          64         43         56         32         64        
3          64         64         64         50         64        
4          64         65         64         63         64        
5          64         64         64         65         64        
6          64         63         64         64         65        
7          65         63         63         64         63        
8          64         64         65         65         64        
9          63         64         64         63         63        
10         64         64         64         64         64        
